"id:ID","uuid","cl","cli","term_uri","notation","pref_label"
"887","8bb27dfa-869c-427f-b5d5-e1a538d3d453","C99073","C25228","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C99073/C25228","RIGHT","Right"
"888","06d7a650-4fe1-46c4-a36e-42197fc7f46a","C65047","C64470","https://ct.d4k.dk/cdisc/dataset/sc/2022-09-30/sdtm/C65047/C64470","BASO","Absolute Basophil Count"
"889","7aa73274-de52-4614-a622-039cbc91e962","C71620","C67255","https://ct.d4k.dk/cdisc/dataset/sc/2020-12-18/sdtm/C71620/C67255","10^9/L","Billion per Liter"
"890","a324e08a-8aa8-4649-9813-934a734fea58","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"891","2deebb27-d684-40b4-9d45-2bdd81265ac0","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"892","b6a396ce-ed91-4d98-aefe-1427c55eae2d","NA","NEW_1","","",""
"893","cb3be521-a1e0-4cb0-9fe1-fd1c14aa24fb","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"894","11978038-c3db-49ad-92f1-76fef52a0d79","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"895","168602ab-48f8-4b03-94d8-639bbfea22ac","C66770","C48531","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C66770/C48531","LB","Pound"
"896","11d1b7a1-1156-453a-ae75-23fac551eb0c","C71620","C48531","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71620/C48531","LB","Pound"
"897","36cf9468-d6b2-4d7e-b2c8-e4de48c504c6","C66734","C49592","https://ct.d4k.dk/cdisc/dataset/sc/2018-03-30/sdtm/C66734/C49592","LB","Laboratory Data Domain"
"898","025e9ebc-c70e-487d-b1fb-9303c4654980","C71620","C48155","https://ct.d4k.dk/cdisc/dataset/sc/2018-03-30/sdtm/C71620/C48155","g","Gram"
"899","72a7f9b5-2dbf-4211-ac10-ea8d32e2e556","C66770","C48155","https://ct.d4k.dk/cdisc/dataset/sc/2018-03-30/sdtm/C66770/C48155","g","Gram"
"900","d69b4084-149a-4f27-bc96-bb9dbca3be1e","C71620","C28252","https://ct.d4k.dk/cdisc/dataset/sc/2016-09-30/sdtm/C71620/C28252","kg","Kilogram"
"901","017a74c6-e02a-46b9-bc0f-25ba9aeec15b","C66770","C28252","https://ct.d4k.dk/cdisc/dataset/sc/2016-09-30/sdtm/C66770/C28252","kg","Kilogram"
"902","8a23484d-e30a-4b96-991f-306dc613d91d","C65047","C64809","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C65047/C64809","SODIUM","Sodium Measurement"
"903","4fb1a017-e16b-482e-9859-466cb35e1d25","C71620","C67474","https://ct.d4k.dk/cdisc/dataset/sc/2011-06-10/sdtm/C71620/C67474","mEq/L","Milliequivalent per Liter"
"904","1b3a3fcf-e481-45fa-be57-c86421f0f7da","C71620","C67473","https://ct.d4k.dk/cdisc/dataset/sc/2013-12-20/sdtm/C71620/C67473","mEq/dL","Milliequivalent per Deciliter"
"905","07e24127-9855-47ad-88c0-5d5c3654bcc5","C71620","C64387","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C64387","mmol/L","Millimole per Liter"
"906","eeb55e7c-e9cb-4306-8651-24d19d100715","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"907","8cd6052f-cf0a-4329-bae0-05d5f1a2da97","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"908","04362d17-25ce-4498-823c-76888bf20e0b","NA","C164634","","",""
"909","18b8d622-7233-4c34-a5bf-102db12f1db5","C66770","C49668","https://ct.d4k.dk/cdisc/dataset/sc/2013-04-12/sdtm/C66770/C49668","cm","Centimeter"
"910","2f67d24f-589a-4b51-8fee-8949fc235df7","C71620","C49668","https://ct.d4k.dk/cdisc/dataset/sc/2013-04-12/sdtm/C71620/C49668","cm","Centimeter"
"911","8d11665c-b61d-4337-bd32-81593479fb7a","C71620","C48500","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C48500","in","Inch"
"912","ff0a1b49-1374-4883-b402-3b98ce5e7e35","C66770","C48500","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C66770/C48500","in","Inch"
"913","2d7febe4-20dc-4625-a56b-a46119805d78","C66770","C41139","https://ct.d4k.dk/cdisc/dataset/sc/2018-12-21/sdtm/C66770/C41139","m","Meter"
"914","d28c8ac7-8016-49b2-b48a-2dafbfc96bf4","C71620","C41139","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71620/C41139","m","Meter"
"915","b593700f-de4d-4015-82ea-b454ce559f83","C65047","C64433","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C65047/C64433","ALT","Alanine Aminotransferase Measurement"
"916","ed39f235-c65e-4f99-9133-ae0351c420d1","C71620","C67456","https://ct.d4k.dk/cdisc/dataset/sc/2020-09-25/sdtm/C71620/C67456","U/L","Unit per Liter"
"917","82ee3478-11d0-4a18-a162-8cde8b52ef78","C71620","C67397","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71620/C67397","ukat/L","Microkatal per Liter"
"918","bc840078-758a-4744-ba36-260a2e0b0d10","C71620","C67376","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C67376","IU/L","International Unit per Liter"
"919","da7cbe2f-008d-4da6-99fe-fac498790410","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"920","60c1e44b-5b3a-490b-8aaa-10094ab5b02d","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"921","dad9871f-8367-4252-bffe-14666c87636e","C66741","C49677","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C66741/C49677","HR","Heart Rate"
"922","79d84e42-2c39-4ec0-a775-6e1965f684eb","C71148","C62122","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71148/C62122","SITTING","Sitting"
"923","c9d65bf2-51b4-4348-859f-f138533a939e","C71148","C62166","https://ct.d4k.dk/cdisc/dataset/sc/2019-12-20/sdtm/C71148/C62166","STANDING","Standing"
"924","531fa72a-f559-486b-bbf3-f524e4f98b99","C71148","C62167","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71148/C62167","SUPINE","Supine Position"
"925","c3f58fd9-cbee-4d8c-b6f0-3cd7d801e6aa","C74456","C12681","https://ct.d4k.dk/cdisc/dataset/sc/2017-03-31/sdtm/C74456/C12681","BRACHIAL ARTERY","Brachial Artery"
"926","c5d55d72-0421-4cb3-8205-aa2ab6b1b357","C74456","C32478","https://ct.d4k.dk/cdisc/dataset/sc/2020-09-25/sdtm/C74456/C32478","DORSALIS PEDIS ARTERY","Dorsalis Pedis Artery"
"927","2c9f7886-b55f-4d22-ab14-a09e6e011dc8","C74456","C12715","https://ct.d4k.dk/cdisc/dataset/sc/2017-03-31/sdtm/C74456/C12715","FEMORAL ARTERY","Femoral Artery"
"928","2a5e8629-f2fc-459b-bd89-193fa248c0fc","C99073","C25229","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C99073/C25229","LEFT","Left"
"929","378aae80-53e3-4d5a-a575-ca76d09d4bed","C99073","C25228","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C99073/C25228","RIGHT","Right"
"930","b6aa21b6-202a-491b-91dc-c9e0443afa99","C65047","C64853","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C65047/C64853","K","Potassium Measurement"
"931","5e25f95f-da57-4fc8-ac1f-ddb8f4e86eac","C71620","C67474","https://ct.d4k.dk/cdisc/dataset/sc/2011-06-10/sdtm/C71620/C67474","mEq/L","Milliequivalent per Liter"
"932","04aae542-7956-4619-b7b9-8160ca97f65c","C71620","C67473","https://ct.d4k.dk/cdisc/dataset/sc/2013-12-20/sdtm/C71620/C67473","mEq/dL","Milliequivalent per Deciliter"
"933","a490a523-b446-4fb6-b7dd-9f82deeb4fdb","C71620","C64387","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C64387","mmol/L","Millimole per Liter"
"934","81eec11d-0433-4f6a-9ff7-442844203cbb","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"935","8f6654c9-3273-45d3-9162-b7978ee47acb","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"936","8d2e78f0-2c34-470c-b6cc-2b01ba2c1828","C66741","C49676","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C66741/C49676","PULSE","Pulse Rate"
"937","54c557af-2cff-42af-811f-704788237f0c","C71148","C62122","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71148/C62122","SITTING","Sitting"
"938","66e2e69b-ec37-495b-8412-1de76c2a0f46","C71148","C62166","https://ct.d4k.dk/cdisc/dataset/sc/2019-12-20/sdtm/C71148/C62166","STANDING","Standing"
"939","32ede8fd-9fe6-4780-9aef-9ec822de7e5b","C71148","C62167","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71148/C62167","SUPINE","Supine Position"
"940","b0eb0254-0949-430a-b7e3-567424f65d22","C74456","C12681","https://ct.d4k.dk/cdisc/dataset/sc/2017-03-31/sdtm/C74456/C12681","BRACHIAL ARTERY","Brachial Artery"
"941","58866563-8343-4947-ac99-ce86c135353d","C74456","C32478","https://ct.d4k.dk/cdisc/dataset/sc/2020-09-25/sdtm/C74456/C32478","DORSALIS PEDIS ARTERY","Dorsalis Pedis Artery"
"942","3edb11c4-a129-439c-a994-480c4d44f3d1","C74456","C12715","https://ct.d4k.dk/cdisc/dataset/sc/2017-03-31/sdtm/C74456/C12715","FEMORAL ARTERY","Femoral Artery"
"943","1858301f-dc09-4af2-b78d-279d7a96feac","C99073","C25229","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C99073/C25229","LEFT","Left"
"944","80629dca-3c42-4d87-808c-3fa6e87d38dd","C99073","C25228","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C99073/C25228","RIGHT","Right"
"945","d5ea3c70-99d0-4c5a-a01c-b5f16b740d42","C65047","C105585","https://ct.d4k.dk/cdisc/dataset/sc/2013-04-12/sdtm/C65047/C105585","GLUC","Glucose Measurement"
"946","054fce05-421d-4ab9-82bd-c78fd24ab783","C71620","C67015","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C71620/C67015","mg/dL","Milligram per Deciliter"
"947","43211cbb-6728-43a6-858e-c14c9a2ce0be","C71620","C42576","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C42576","g/L","Kilogram per Cubic Meter"
"948","8232081f-73f7-4884-accc-7779eafb41e5","C71620","C64387","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C64387","mmol/L","Millimole per Liter"
"949","f50673e5-3a6f-40a8-a5d2-7ab5f1d027b8","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"950","6a75663f-f3f4-47f3-add2-7aabe5ca707a","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"951","1170088e-865f-4d16-a17a-636c40c303a5","C66741","C49678","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C66741/C49678","RESP","Respiratory Rate"
"952","bb0b1273-3648-4bbd-8d8f-40e4fe5496a9","C65047","C64809","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C65047/C64809","SODIUM","Sodium Measurement"
"953","5e21d5b3-19f5-448b-ad44-1e18881cd241","C71620","C67474","https://ct.d4k.dk/cdisc/dataset/sc/2011-06-10/sdtm/C71620/C67474","mEq/L","Milliequivalent per Liter"
"954","3c90d1bc-c571-4baa-977e-dfc5d1b0fa71","C71620","C67473","https://ct.d4k.dk/cdisc/dataset/sc/2013-12-20/sdtm/C71620/C67473","mEq/dL","Milliequivalent per Deciliter"
"955","4d4daab1-a162-47c3-a785-f25f5b81fb18","C71620","C64387","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C64387","mmol/L","Millimole per Liter"
"956","95b2b727-ca0e-4853-bc81-f867a3c08e9d","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"957","03db7b30-5079-411d-8280-f2a5a1eac406","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"958","b912dae0-937f-43c5-a37f-95e60b2ac94c","C65047","C64467","https://ct.d4k.dk/cdisc/dataset/sc/2010-07-02/sdtm/C65047/C64467","AST","Aspartate Aminotransferase Measurement"
"959","ab9a6c5c-42d0-47e9-9f04-9cce6ee37362","C71620","C42576","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C42576","g/L","Kilogram per Cubic Meter"
"960","ad2238b3-07e2-4da5-bd91-256957a8cc24","C71620","C64783","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C71620/C64783","g/dL","Gram per Deciliter"
"961","64aaa009-6271-48fb-a09e-29becdcca5fc","C71620","C67015","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C71620/C67015","mg/dL","Milligram per Deciliter"
"962","741022e4-3c37-4a74-b3b6-a6c12fa1577d","C71620","C48508","https://ct.d4k.dk/cdisc/dataset/sc/2016-12-16/sdtm/C71620/C48508","umol/L","Micromole per Liter"
"963","30ee5aea-dbc5-4d11-8091-01f1d21cacce","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"964","bc626564-6f66-4d1c-a3f0-d0a0fcb76fa7","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"965","04652c66-a404-4a0c-973e-ee82c968ce4b","C66741","C16358","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C66741/C16358","BMI","Body Mass Index"
"966","0d93aa62-4a93-469b-b915-af2fe07cb98d","C71620","C49671","https://ct.d4k.dk/cdisc/dataset/sc/2013-12-20/sdtm/C71620/C49671","kg/m2","Kilogram per Square Meter"
"967","5cd0f1ac-f233-4bce-9a5f-0b295af01e1e","C66770","C49671","https://ct.d4k.dk/cdisc/dataset/sc/2014-03-28/sdtm/C66770/C49671","kg/m2","Kilogram per Square Meter"
"968","4192d59c-bcbe-4d41-b926-5d495ec9b3a0","C71620","C67334","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71620/C67334","psi","Pound per Square Inch"
"969","81024516-e980-4312-b40c-842fce12632b","C65047","C105585","https://ct.d4k.dk/cdisc/dataset/sc/2013-04-12/sdtm/C65047/C105585","GLUC","Glucose Measurement"
"970","2beccecd-ad15-4b0d-925b-22e481604039","C71620","C67015","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C71620/C67015","mg/dL","Milligram per Deciliter"
"971","5f654eee-0bee-491f-87b2-6b3def91728f","C71620","C64387","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C64387","mmol/L","Millimole per Liter"
"972","f14673ad-f6c4-466f-8f0c-f093ff81c5e0","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"973","7bbe0fa2-9e79-4ec6-a8fd-c1f40d99b594","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"974","66bff663-3dd3-4206-a3e9-1a4b9d151815","C65047","C105585","https://ct.d4k.dk/cdisc/dataset/sc/2013-04-12/sdtm/C65047/C105585","GLUC","Glucose Measurement"
"975","4d94423a-492b-4740-b421-2f44e93d9231","C71620","C67015","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C71620/C67015","mg/dL","Milligram per Deciliter"
"976","a03ca1ad-8598-4b3b-ab37-3c2583c43e5b","C71620","C64387","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C64387","mmol/L","Millimole per Liter"
"977","462bbc43-4335-4944-807d-c3de6a833e3f","C71620","C48508","https://ct.d4k.dk/cdisc/dataset/sc/2016-12-16/sdtm/C71620/C48508","umol/L","Micromole per Liter"
"978","7b59b3e7-48f0-435a-8fa6-8c4434795554","C66742","C49487","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49487","N","No"
"979","60450dca-d546-4c6c-8185-1ba352868493","C66742","C49488","https://ct.d4k.dk/cdisc/dataset/sc/2017-09-29/protocol/C66742/C49488","Y","Yes"
"980","fd90db6e-1ef8-4eeb-a065-3fc7ba4eb688","C66741","C174446","https://ct.d4k.dk/cdisc/dataset/sc/2020-09-25/sdtm/C66741/C174446","TEMP","Body Temperature"
"981","3e3114f0-133a-4f52-8c4e-3c9b3f8561b6","C66770","C42559","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C66770/C42559","C","Degree Celsius"
"982","8ab13546-d311-4a43-bcb2-356f36b5a4e8","C71620","C42559","https://ct.d4k.dk/cdisc/dataset/sc/2013-10-04/sdtm/C71620/C42559","C","Degree Celsius"
"983","08c0f950-a2f1-4277-a057-0e7d4f2e17a3","C66731","C16576","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C66731/C16576","F","Female"
"984","f8cad476-858b-48c8-be49-35cf513c5cd0","C66732","C16576","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C66732/C16576","F","Female"
"985","788688e1-75a7-4098-b58b-7144014fb108","C66770","C44277","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C66770/C44277","F","Degree Fahrenheit"
"986","a864e77a-249d-4471-82e8-3c609fa33b3e","C71620","C44277","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C71620/C44277","F","Degree Fahrenheit"
"987","fb5a9b82-f03f-47f2-a70d-23d1b4c9f88c","C65047","C64853","https://ct.d4k.dk/cdisc/dataset/sc/2010-04-08/sdtm/C65047/C64853","K","Potassium Measurement"
"988","6d61a333-e7d4-4607-99d0-2a3aa0a41159","C71620","C42537","https://ct.d4k.dk/cdisc/dataset/sc/2018-09-28/sdtm/C71620/C42537","K","Kelvin"
"989","e6499d4c-1ce9-4532-b43c-fb0580012838","C66770","C42537","https://ct.d4k.dk/cdisc/dataset/sc/2018-09-28/sdtm/C66770/C42537","K","Kelvin"
"990","5fe33c82-64b7-40db-9ace-daa45d9543a5","C74456","C12674","https://ct.d4k.dk/cdisc/dataset/sc/2019-09-27/sdtm/C74456/C12674","AXILLA","Axilla"
"991","43b72f96-4f0a-4df1-a8cd-b6acda79269a","C74456","C12394","https://ct.d4k.dk/cdisc/dataset/sc/2017-03-31/sdtm/C74456/C12394","EAR","Ear"
"992","72538b7d-a496-4ced-9529-21bb23bbcec6","C74456","C89803","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C74456/C89803","FOREHEAD","Forehead"
"993","328c525b-d322-4e88-938b-3f24903e7d08","C74456","C12421","https://ct.d4k.dk/cdisc/dataset/sc/2019-03-29/sdtm/C74456/C12421","ORAL CAVITY","Oral Cavity"
"994","96c7033a-4739-43bc-adcb-15a9d4beb5f6","C74456","C12390","https://ct.d4k.dk/cdisc/dataset/sc/2017-03-31/sdtm/C74456/C12390","RECTUM","Rectum"
"995","fb815f84-234d-4cac-b3e6-46a7b5d0a590","NA","C61048","","",""
"996","77c5e5bd-b9b3-491e-baba-1bf13c06733f","C71620","C67015","https://ct.d4k.dk/cdisc/dataset/sc/2011-12-09/sdtm/C71620/C67015","mg/dL","Milligram per Deciliter"
"997","f9702c33-9f82-4d6f-ab3f-44f9e17e3bc7","C71620","C64572","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C64572","mg/L","Microgram per Milliliter"
"998","761c9e80-30fa-4af7-aeb5-b93353ea9117","C71620","C64387","https://ct.d4k.dk/cdisc/dataset/sc/2014-12-19/sdtm/C71620/C64387","mmol/L","Millimole per Liter"
